system:index,country,date,NO2,SO2,CO,O3,year
gen_000000,Botswana,2025/05/09,2.86E-05,8.13E-05,0.034446287,0.135624127,2025
gen_000001,Swaziland,2026/10/27,4.22E-05,0.000126437,0.038904788,,2026
gen_000002,South Africa,2023/09/20,6.73E-05,0.000247897,0.059781221,,2023
gen_000003,Mozambique,2022/02/21,2.41E-05,0.000119026,0.032885064,0.117508477,2022
gen_000004,Mozambique,2018/01/17,2.74E-05,0.000111303,0.027861907,0.119665273,2018
gen_000005,Zimbabwe,2024/02/16,3.74E-05,0.000129573,0.03987822,0.153987185,2024
gen_000006,Botswana,2027/01/30,3.04E-05,8.84E-05,0.033013662,0.153023665,2027
gen_000007,Swaziland,2019/05/30,3.83E-05,0.000131567,0.040496325,0.144986028,2019
gen_000008,Lesotho,2020/06/11,2.24E-05,9.99E-05,0.031634484,0.132080017,2020
gen_000009,Botswana,2023/04/09,2.62E-05,0.000113871,0.037937756,0.131186213,2023
gen_000010,South Africa,2023/05/03,8.00E-05,0.000258299,0.053739861,0.147282171,2023
gen_000011,Zimbabwe,2022/03/29,3.85E-05,0.000113059,0.036962173,0.125453433,2022
gen_000012,Swaziland,2019/06/24,3.14E-05,0.000155555,0.03404049,0.111074061,2019
gen_000013,Swaziland,2022/11/02,2.38E-05,0.000110257,,0.134263037,2022
gen_000014,Swaziland,2023/01/15,3.58E-05,,0.032793465,0.140515927,2023
gen_000015,Swaziland,2019/11/04,2.74E-05,0.000121373,0.031836841,0.130502628,2019
gen_000016,South Africa,2024/01/30,6.86E-05,0.000282099,0.070609258,0.158895938,2024
gen_000017,Botswana,2026/08/30,2.51E-05,9.21E-05,0.034737797,0.102589097,2026
gen_000018,Zimbabwe,2018/11/14,2.65E-05,7.48E-05,0.028000911,0.104816589,2018
gen_000019,Mozambique,2018/10/20,2.70E-05,6.78E-05,0.043918789,0.111692163,2018
gen_000020,South Africa,2023/09/03,6.63E-05,0.000220922,0.056663392,0.125745059,2023
gen_000021,Mozambique,2025/10/23,3.71E-05,0.00010476,0.03612854,0.128053689,2025
gen_000022,Lesotho,2019/01/09,2.43E-05,8.22E-05,,0.127895286,2019
gen_000023,Zimbabwe,2027/06/10,3.25E-05,0.000118383,0.042370753,0.154892051,2027
gen_000024,Swaziland,2022/10/08,3.75E-05,0.000138401,,0.10546264,2022
gen_000025,South Africa,2019/01/24,5.63E-05,0.000261346,0.041644846,,2019
gen_000026,Mozambique,2022/06/22,3.11E-05,8.71E-05,0.03076304,0.116353885,2022
gen_000027,Swaziland,2022/05/03,3.72E-05,0.000123249,0.040215338,0.143087139,2022
gen_000028,South Africa,2021/11/26,5.02E-05,,0.046613895,0.147077337,2021
gen_000029,Mozambique,2023/11/07,1.88E-05,9.01E-05,0.033739949,,2023
gen_000030,Mozambique,2020/06/19,2.27E-05,8.78E-05,0.026208006,0.156323782,2020
gen_000031,Lesotho,2027/11/30,2.39E-05,9.58E-05,0.029848145,0.145417699,2027
gen_000032,Botswana,2020/11/09,1.57E-05,6.75E-05,0.030724352,0.133974698,2020
gen_000033,South Africa,2026/08/27,8.54E-05,0.000265904,0.052338163,0.093881586,2026
gen_000034,Zimbabwe,2026/03/09,3.20E-05,0.00013715,0.04499877,0.123965739,2026
gen_000035,Botswana,2022/02/21,,8.63E-05,,0.159956391,2022
gen_000036,Zimbabwe,2019/12/06,3.13E-05,0.000100005,0.038500925,0.126012951,2019
gen_000037,Swaziland,2027/09/05,3.79E-05,0.00010778,0.045859449,0.100532232,2027
gen_000038,Lesotho,2023/09/24,3.10E-05,9.10E-05,0.028314482,0.119827947,2023
gen_000039,South Africa,2021/04/24,6.62E-05,0.00023895,0.052299788,0.172621148,2021
gen_000040,Botswana,2019/07/06,2.23E-05,6.12E-05,0.025894466,0.107410713,2019
gen_000041,Swaziland,2021/05/26,4.44E-05,0.000136269,0.034071716,0.092933009,2021
gen_000042,Swaziland,2024/07/09,3.04E-05,0.000108915,0.032291853,0.138165619,2024
gen_000043,Mozambique,2023/01/23,3.09E-05,8.73E-05,0.031756952,0.151067311,2023
gen_000044,Botswana,2018/09/01,2.99E-05,6.64E-05,0.031490889,0.094910495,2018
gen_000045,Zimbabwe,2025/10/18,3.68E-05,0.000112904,0.042544034,0.145053206,2025
gen_000046,Mozambique,2021/03/19,2.96E-05,9.27E-05,0.035955607,0.136698844,2021
gen_000047,Zimbabwe,2019/12/03,3.71E-05,0.000111048,0.035305627,0.123603745,2019
gen_000048,Swaziland,2024/12/30,3.44E-05,0.000152259,0.028710305,0.136669513,2024
gen_000049,Swaziland,2025/06/04,3.81E-05,0.000143603,0.029767161,0.144812593,2025
gen_000050,Swaziland,2026/03/21,3.60E-05,0.000167523,,0.141996964,2026
gen_000051,Lesotho,2018/01/10,1.96E-05,9.57E-05,0.031385936,0.123124777,2018
gen_000052,Mozambique,2021/11/15,,8.42E-05,0.02399107,0.119896711,2021
gen_000053,Mozambique,2020/08/16,2.68E-05,8.98E-05,0.032010932,0.132425715,2020
gen_000054,Mozambique,2023/10/22,3.38E-05,9.43E-05,0.033565123,,2023
gen_000055,Botswana,2027/09/29,2.63E-05,6.69E-05,0.033350149,,2027
gen_000056,South Africa,2019/03/14,6.01E-05,0.000251584,0.070551609,0.141591323,2019
gen_000057,Botswana,2024/07/25,2.66E-05,0.000104919,0.022077311,0.13915639,2024
gen_000058,Swaziland,2022/06/12,3.71E-05,0.000116663,0.040413044,,2022
gen_000059,Swaziland,2022/08/17,3.54E-05,0.000127091,0.038502514,0.105113661,2022
gen_000060,Zimbabwe,2027/06/02,2.54E-05,0.000133792,0.034772482,0.141232948,2027
gen_000061,Swaziland,2025/04/26,3.20E-05,0.000111779,0.033604721,0.166973689,2025
gen_000062,Mozambique,2018/12/12,2.37E-05,9.66E-05,0.026320549,,2018
gen_000063,Zimbabwe,2022/05/09,3.58E-05,0.000109992,0.047039839,0.11601243,2022
gen_000064,Mozambique,2025/06/04,2.52E-05,8.39E-05,0.030657462,0.129894916,2025
gen_000065,Lesotho,2019/01/25,2.70E-05,8.86E-05,0.031154468,0.114777927,2019
gen_000066,Zimbabwe,2023/01/22,3.75E-05,,0.035680505,0.163421797,2023
gen_000067,Mozambique,2022/12/23,,8.92E-05,0.03274161,0.132613855,2022
gen_000068,Botswana,2018/09/26,2.82E-05,7.07E-05,0.034255768,0.109329027,2018
